ID,Código de Asignatura,Nombre Asignatura,Número de Creditos SCT,Semestre,Tipo de Asignatura,Número de Horas,Número de Horas Presenciales,Número de Horas Teóricas Presenciales,Número de Horas Prácticas Presenciales,Número de Horas de Laboratorio Presenciales,Número de Horas Autónomas,Número de Horas Teóricas Autónomas,Número de Horas Prácticas Autónomas,Número de Horas de Laboratorio Autónomas,Prerrequisitos,Categoría
1,ESP-101,Introducción a la Programación,9,1,Área de Formación Especialidad,20,8,,,,12,,,,,Troncal
2,FB-101,Introducción a la Ingeniería (Informática),5,1,Área de Formación Básica,11,5,,,,6,,,,,Troncal
3,FB-001,Álgebra (y Trigonometría),6,1,Área de Formación Básica,14,6,,,,8,,,,,Troncal
4,FB-002,Fundamentos de Cálculo,6,1,Área de Formación Básica,14,6,,,,8,,,,,Troncal
5,FIC-101,Formación Integral Complementaria (1),2,1,Área de Formación Integral Complementaria de Libre Elección,4,2,,,,2,,,,,Normal
6,FIC-102,Formación Integral Complementaria (2),2,1,Área de Formación Integral Complementaria de Libre Elección,4,2,,,,2,,,,,Normal
7,ESP-102,Algoritmos y Programación,8,2,Área de Formación Especialidad,18,7,,,,11,,,,1,Troncal
8,FB-102,Estructura Discretas para Ciencias de la Computación,8,2,Área de Formación Básica,18,7,,,,11,,,,,Troncal
9,FB-003,Álgebra Lineal,6,2,Área de Formación Básica,14,6,,,,8,,,,,Troncal
10,FB-004,Cálculo Diferencial e Integral,6,2,Área de Formación Básica,14,6,,,,8,,,,,Troncal
11,FIC-103,Formación Integral Complementaria (3),2,2,Área de Formación Integral Complementaria de Libre Elección,4,2,,,,2,,,,,Normal
12,ESP-103,Estructuras de Datos,6,3,Área de Formación Especialidad,14,6,,,,8,,,,7,Troncal
13,ESP-501,Gestión de Empresas,4,3,Área de Formación Especialidad,9,4,,,,5,,,,,Troncal
14,FB-005,Cálculo Multivariable,6,3,Área de Formación Básica,14,6,,,,8,,,,,Troncal
15,FIC-201,Inglés Comunicacional I,4,3,Área de Formación Integral Complementaria Obligatoria,9,4,,,,5,,,,,Normal
16,ESP,VcM,4,3,Área de Formación Especialidad,9,4,,,,5,,,,,VcM
17,ESP-104,Programación Orientada a Objetos,8,4,Área de Formación Especialidad,18,7,,,,11,,,,12,Troncal
